date,time,open,high,low,close,volume
2021-06-02,05:00:00,13624,13640.5,13621,13638,3241
2021-06-02,06:00:00,13637.5,13646.75,13629.5,13644.75,3280
2021-06-02,07:00:00,13644.75,13658,13639.25,13653.25,6226
2021-06-02,08:00:00,13653.75,13673.5,13648.75,13670.25,8862
2021-06-02,09:00:00,13670.5,13708.5,13651.75,13679,59810
2021-06-02,10:00:00,13679,13712.75,13657.5,13684.25,62435
2021-06-02,11:00:00,13684.5,13706,13676,13695.75,37694
2021-06-02,12:00:00,13696.25,13699,13656,13669.75,29383
2021-06-02,13:00:00,13669.75,13675.75,13613.25,13628,41784
2021-06-02,14:00:00,13627.75,13640.75,13603.25,13636.75,31799
2021-06-02,15:00:00,13636.75,13678,13626,13674.25,39642
2021-06-02,16:00:00,13674,13678.5,13663,13677,8862
2021-06-02,18:00:00,13679.5,13687,13676,13680,2050
2021-06-02,19:00:00,13679.25,13689,13672.75,13686.5,1903
2021-06-02,20:00:00,13687,13707.75,13682.5,13703.75,4214
2021-06-02,21:00:00,13704,13704.25,13691,13696.25,3562
2021-06-02,22:00:00,13696.25,13700.5,13680.25,13689.75,2825
2021-06-02,23:00:00,13689.5,13692,13683.25,13688.25,1424
2021-06-03,00:00:00,13688,13692.25,13685.25,13685.5,907
2021-06-03,01:00:00,13685.5,13697.25,13683.25,13693,2242
2021-06-03,02:00:00,13692.75,13695.75,13653.75,13662.5,5327
2021-06-03,03:00:00,13663.5,13665.25,13647,13655.25,6231
2021-06-03,04:00:00,13654.25,13668.75,13649.25,13667,5262
2021-06-03,05:00:00,13666.5,13666.5,13631,13642.75,5387
2021-06-03,06:00:00,13642.75,13644.75,13568.25,13578,14884
2021-06-03,07:00:00,13578.25,13581.25,13518.25,13533.5,24301
2021-06-03,08:00:00,13533.25,13561,13511,13545.5,20776
2021-06-03,09:00:00,13545.75,13569.75,13462.25,13497,84476
2021-06-03,10:00:00,13497,13579,13480.25,13578.75,109550
2021-06-03,11:00:00,13578.75,13609.5,13527,13550.75,76707
2021-06-03,12:00:00,13550.5,13579.75,13532.75,13579,44923
2021-06-03,13:00:00,13579,13594,13545.25,13566.5,42759
2021-06-03,14:00:00,13566.25,13574.25,13532,13533.5,30058
2021-06-03,15:00:00,13533.5,13554,13519.5,13528.25,48287
2021-06-03,16:00:00,13528,13536,13517.25,13530.25,8836
2021-06-03,18:00:00,13531.75,13541.75,13516,13524.5,3130
2021-06-03,19:00:00,13524,13528.25,13501,13503.5,3110
2021-06-03,20:00:00,13504,13504,13467.75,13489.5,9062
2021-06-03,21:00:00,13489.75,13511.25,13487.5,13505,5812
2021-06-03,22:00:00,13504.5,13517.5,13502,13511.5,3729
2021-06-03,23:00:00,13512,13533,13508,13529.5,4165
2021-06-04,00:00:00,13529.5,13530.75,13517.25,13521.75,2367
2021-06-04,01:00:00,13522.25,13531.75,13499.25,13502.75,5465
2021-06-04,02:00:00,13502.25,13527,13492.5,13516.25,5881
2021-06-04,03:00:00,13516.75,13545.75,13505,13526.25,9379
2021-06-04,04:00:00,13525.75,13546.5,13518.5,13524.5,5966
2021-06-04,05:00:00,13525.75,13542.5,13520.5,13537,5356
2021-06-04,06:00:00,13537,13541,13500,13534.75,7247
2021-06-04,07:00:00,13535,13557.25,13535,13556.5,7581
2021-06-04,08:00:00,13556.5,13608,13526.75,13598.25,41878
2021-06-04,09:00:00,13598.25,13704.75,13592.5,13698.25,72807
2021-06-04,10:00:00,13698.75,13756.25,13698.75,13735.5,73324
2021-06-04,11:00:00,13735.5,13769.5,13730.75,13756,39481
2021-06-04,12:00:00,13756.25,13767.5,13746.5,13760.25,21085
2021-06-04,13:00:00,13760.25,13778,13754,13774.75,23191
2021-06-04,14:00:00,13774.75,13783.75,13771.25,13775,24875
2021-06-04,15:00:00,13775,13783.5,13756.25,13766.5,50194
2021-06-04,16:00:00,13766.75,13769.25,13756.25,13763.25,10680
2021-06-06,18:00:00,13773.25,13784.75,13768,13774.25,3873
2021-06-06,19:00:00,13774.25,13777.75,13766,13767.5,2115
2021-06-06,20:00:00,13766.75,13768.25,13741.5,13749.5,5813
2021-06-06,21:00:00,13749.75,13753,13733,13736.75,4875
2021-06-06,22:00:00,13736.5,13751.25,13733.5,13744,2749
2021-06-06,23:00:00,13743.5,13755,13741.25,13746.25,1542
2021-06-07,00:00:00,13746.75,13751,13740.5,13744.25,1607
2021-06-07,01:00:00,13744.75,13748.25,13730.25,13736,2469
2021-06-07,02:00:00,13736.75,13746,13732.5,13741.75,2831
2021-06-07,03:00:00,13741.5,13747,13710.25,13729.25,10372
2021-06-07,04:00:00,13729,13733.25,13706.5,13730.75,5733
2021-06-07,05:00:00,13730.75,13731.75,13691.5,13707,9209
2021-06-07,06:00:00,13707,13723,13701.25,13711.5,6275
2021-06-07,07:00:00,13711.25,13759.75,13711,13752.5,11430
2021-06-07,08:00:00,13752.25,13769.25,13742.25,13758.75,10833
2021-06-07,09:00:00,13758.5,13764.5,13720.75,13755,64445
