"date","time","symbol","open","high","low","close","volume"
"2019-06-04","11:30:00","SP:SPX","2787.27","2791.13","2784.87","2787.15","3600"
"2019-06-04","12:30:00","SP:SPX","2787.18","2794.81","2784.7","2792.98","3600"
"2019-06-04","13:30:00","SP:SPX","2793.04","2796.1","2790.81","2793.04","3600"
"2019-06-04","14:30:00","SP:SPX","2793.04","2797.19","2791.09","2797.19","3600"
"2019-06-04","15:30:00","SP:SPX","2797.2","2804.49","2794.69","2803.27","2400"
"2019-06-05","09:30:00","SP:SPX","2818.09","2820.42","2808.05","2808.61","3599"
"2019-06-05","10:30:00","SP:SPX","2808.74","2815.13","2800.92","2814.86","3600"
"2019-06-05","11:30:00","SP:SPX","2814.83","2817.89","2811.31","2817.61","3600"
"2019-06-05","12:30:00","SP:SPX","2817.58","2823.01","2812.33","2821.9","3600"
"2019-06-05","13:30:00","SP:SPX","2821.93","2824.72","2820.25","2822.28","3600"
"2019-06-05","14:30:00","SP:SPX","2822.23","2823.67","2818.65","2821.57","3600"
"2019-06-05","15:30:00","SP:SPX","2821.55","2827.28","2815.32","2826.15","2400"
"2019-06-06","09:30:00","SP:SPX","2828.51","2833.49","2823.24","2823.38","3599"
"2019-06-06","10:30:00","SP:SPX","2823.35","2834.76","2822.45","2834.65","3600"
"2019-06-06","11:30:00","SP:SPX","2834.62","2835.61","2826.93","2830.91","3600"
"2019-06-06","12:30:00","SP:SPX","2830.9","2834.08","2830.25","2833.29","3600"
"2019-06-06","13:30:00","SP:SPX","2833.29","2835.99","2832.23","2834.31","3600"
"2019-06-06","14:30:00","SP:SPX","2834.3","2847.36","2834.17","2846.92","3600"
"2019-06-06","15:30:00","SP:SPX","2846.91","2852.1","2842.3","2843.49","2400"
"2019-06-07","09:30:00","SP:SPX","2852.87","2870.94","2852.87","2870.56","3599"
"2019-06-07","10:30:00","SP:SPX","2870.6","2884.97","2870.6","2875.35","3600"
"2019-06-07","11:30:00","SP:SPX","2875.37","2878.11","2872.85","2877.93","3600"
"2019-06-07","12:30:00","SP:SPX","2877.94","2882.33","2876.26","2877.58","3600"
"2019-06-07","13:30:00","SP:SPX","2877.6","2880.25","2876.67","2878.67","3600"
"2019-06-07","14:30:00","SP:SPX","2878.65","2879.7","2873.99","2878.7","3600"
"2019-06-07","15:30:00","SP:SPX","2878.69","2879.3","2871.83","2873.34","2400"
"2019-06-10","09:30:00","SP:SPX","2885.83","2897.15","2885.83","2895.85","3599"
"2019-06-10","10:30:00","SP:SPX","2895.83","2899.71","2893.86","2898.66","3600"
"2019-06-10","11:30:00","SP:SPX","2898.66","2904.77","2897.34","2898.26","3600"
"2019-06-10","12:30:00","SP:SPX","2898.25","2898.7","2894.77","2895.7","3600"
"2019-06-10","13:30:00","SP:SPX","2895.69","2897.16","2885.92","2890.43","3600"
"2019-06-10","14:30:00","SP:SPX","2890.41","2894.64","2888.82","2889.18","3600"
"2019-06-10","15:30:00","SP:SPX","2889.22","2893.5","2885.51","2886.73","2400"
"2019-06-11","09:30:00","SP:SPX","2903.27","2910.61","2896.71","2901.85","3599"
"2019-06-11","10:30:00","SP:SPX","2901.98","2902.12","2890.64","2892.59","3600"
"2019-06-11","11:30:00","SP:SPX","2892.54","2893.45","2881.81","2882.38","3600"
"2019-06-11","12:30:00","SP:SPX","2882.41","2885.19","2878.53","2881.52","3600"
"2019-06-11","13:30:00","SP:SPX","2881.52","2891.16","2880.22","2888.25","3600"
"2019-06-11","14:30:00","SP:SPX","2888.23","2888.3","2880.7","2884.17","3600"
"2019-06-11","15:30:00","SP:SPX","2884.17","2887.62","2883.36","2885.72","2400"
"2019-06-12","09:30:00","SP:SPX","2882.73","2888.57","2878.82","2878.98","3599"
"2019-06-12","10:30:00","SP:SPX","2878.99","2884.89","2877.07","2879.73","3600"
"2019-06-12","11:30:00","SP:SPX","2879.72","2881.68","2874.68","2879.6","3600"
"2019-06-12","12:30:00","SP:SPX","2879.53","2882.1","2878.2","2880.14","3600"
"2019-06-12","13:30:00","SP:SPX","2880.15","2880.59","2876.79","2878.04","3600"
"2019-06-12","14:30:00","SP:SPX","2878.04","2881.96","2877.2","2878.66","3600"
"2019-06-12","15:30:00","SP:SPX","2878.65","2880.65","2877.05","2879.84","2400"
"2019-06-13","09:30:00","SP:SPX","2886.24","2895.24","2884.64","2890.38","3599"
"2019-06-13","10:30:00","SP:SPX","2890.39","2891.86","2881.99","2887.22","3600"
"2019-06-13","11:30:00","SP:SPX","2887.2","2890.71","2885.44","2886.42","3600"
"2019-06-13","12:30:00","SP:SPX","2886.4","2894.25","2885.91","2891.73","3600"
"2019-06-13","13:30:00","SP:SPX","2891.74","2892.52","2886.28","2889.28","3600"
"2019-06-13","14:30:00","SP:SPX","2889.28","2889.42","2882.01","2884.48","3600"
"2019-06-13","15:30:00","SP:SPX","2884.47","2892.73","2883.65","2891.64","2400"
"2019-06-14","09:30:00","SP:SPX","2886.82","2887.85","2879.87","2883.23","3599"
"2019-06-14","10:30:00","SP:SPX","2883.22","2888.0","2879.62","2885.36","3600"
"2019-06-14","11:30:00","SP:SPX","2885.54","2887.52","2881.94","2883.75","3600"
"2019-06-14","12:30:00","SP:SPX","2883.74","2885.34","2883.55","2884.09","3600"
"2019-06-14","13:30:00","SP:SPX","2884.11","2887.16","2882.69","2886.56","3600"
"2019-06-14","14:30:00","SP:SPX","2886.66","2893.33","2886.27","2892.49","3600"
"2019-06-14","15:30:00","SP:SPX","2892.48","2894.45","2886.94","2886.98","2400"
"2019-06-17","09:30:00","SP:SPX","2889.75","2895.22","2887.3","2894.74","3599"
"2019-06-17","10:30:00","SP:SPX","2894.74","2897.27","2893.57","2894.11","3600"
"2019-06-17","11:30:00","SP:SPX","2893.95","2894.11","2890.88","2891.06","3600"
"2019-06-17","12:30:00","SP:SPX","2891.05","2894.1","2890.43","2892.38","3600"
"2019-06-17","13:30:00","SP:SPX","2892.38","2896.51","2892.2","2893.26","3600"
"2019-06-17","14:30:00","SP:SPX","2893.25","2894.58","2891.29","2893.75","3600"
"2019-06-17","15:30:00","SP:SPX","2893.76","2893.76","2887.5","2889.67","2400"
"2019-06-18","09:30:00","SP:SPX","2906.71","2927.26","2905.44","2923.73","3574"
"2019-06-18","10:30:00","SP:SPX","2923.71","2930.79","2921.62","2924.87","3570"
"2019-06-18","11:30:00","SP:SPX","2924.9","2925.15","2917.59","2920.8","3600"
