"date","time","symbol","open","high","low","close","volume"
"2020-11-12","06:10:00","TVC:VIX","23.69","24.43","23.62","24.31","0"
"2020-11-12","07:10:00","TVC:VIX","24.33","24.47","23.96","24.35","0"
"2020-11-12","08:10:00","TVC:VIX","24.33","24.42","23.74","24.14","0"
"2020-11-12","09:10:00","TVC:VIX","24.13","24.35","23.97","24.16","0"
"2020-11-12","10:10:00","TVC:VIX","24.14","24.25","23.73","23.78","0"
"2020-11-12","11:10:00","TVC:VIX","23.77","24.43","23.77","24.22","0"
"2020-11-12","12:10:00","TVC:VIX","24.21","25.77","24.01","25.65","0"
"2020-11-12","13:10:00","TVC:VIX","25.64","26.6","25.2","25.68","0"
"2020-11-12","14:10:00","TVC:VIX","25.7","27.27","25.63","27.17","0"
"2020-11-12","15:10:00","TVC:VIX","27.13","27.13","25.22","25.29","0"
"2020-11-12","16:10:00","TVC:VIX","25.28","25.35","25.07","25.35","0"
"2020-11-13","03:10:00","TVC:VIX","24.94","25.03","24.54","24.57","0"
"2020-11-13","04:10:00","TVC:VIX","24.54","24.64","24.0","24.02","0"
"2020-11-13","05:10:00","TVC:VIX","24.06","24.25","23.84","24.11","0"
"2020-11-13","06:10:00","TVC:VIX","24.1","24.36","24.05","24.28","0"
"2020-11-13","07:10:00","TVC:VIX","24.29","24.49","23.99","24.12","0"
"2020-11-13","08:10:00","TVC:VIX","24.13","24.45","23.95","24.42","0"
"2020-11-13","09:10:00","TVC:VIX","24.43","24.47","23.65","23.72","0"
"2020-11-13","10:10:00","TVC:VIX","23.74","23.99","23.44","23.51","0"
"2020-11-13","11:10:00","TVC:VIX","23.53","23.62","23.12","23.22","0"
"2020-11-13","12:10:00","TVC:VIX","23.2","23.25","23.01","23.08","0"
"2020-11-13","13:10:00","TVC:VIX","23.07","23.3","23.06","23.1","0"
"2020-11-13","14:10:00","TVC:VIX","23.09","23.22","22.74","23.02","0"
"2020-11-13","15:10:00","TVC:VIX","23.0","23.15","22.79","23.13","0"
"2020-11-13","16:10:00","TVC:VIX","23.14","23.15","23.1","23.1","0"
"2020-11-16","03:10:00","TVC:VIX","23.66","23.88","23.58","23.71","0"
"2020-11-16","04:10:00","TVC:VIX","23.73","23.73","23.47","23.56","0"
"2020-11-16","05:10:00","TVC:VIX","23.57","23.61","23.47","23.5","0"
"2020-11-16","06:10:00","TVC:VIX","23.52","23.68","23.11","23.13","0"
"2020-11-16","07:10:00","TVC:VIX","23.14","23.53","23.04","23.31","0"
"2020-11-16","08:10:00","TVC:VIX","23.32","23.43","22.83","23.25","0"
"2020-11-16","09:10:00","TVC:VIX","23.24","23.74","23.13","23.4","0"
"2020-11-16","10:10:00","TVC:VIX","23.39","23.49","22.87","22.88","0"
"2020-11-16","11:10:00","TVC:VIX","22.89","23.09","22.84","23.08","0"
"2020-11-16","12:10:00","TVC:VIX","23.07","23.58","23.05","23.46","0"
"2020-11-16","13:10:00","TVC:VIX","23.44","24.08","23.42","23.44","0"
"2020-11-16","14:10:00","TVC:VIX","23.46","23.5","23.15","23.4","0"
"2020-11-16","15:10:00","TVC:VIX","23.38","23.46","22.52","22.53","0"
"2020-11-16","16:10:00","TVC:VIX","22.52","22.52","22.43","22.45","0"
"2020-11-17","03:10:00","TVC:VIX","22.84","23.2","22.8","23.2","0"
"2020-11-17","04:10:00","TVC:VIX","23.21","23.21","22.98","23.13","0"
"2020-11-17","05:10:00","TVC:VIX","23.12","23.12","22.99","23.1","0"
"2020-11-17","06:10:00","TVC:VIX","23.12","23.23","23.08","23.17","0"
"2020-11-17","07:10:00","TVC:VIX","23.16","23.31","23.04","23.16","0"
"2020-11-17","08:10:00","TVC:VIX","23.17","23.62","23.16","23.54","0"
"2020-11-17","09:10:00","TVC:VIX","23.52","24.09","23.31","23.76","0"
