Date, Time, Open, High, Low, Last, Volume, # of Trades, OHLC Avg, HLC Avg, HL Avg, Bid Volume, Ask Volume
2022/6/30, 00:00:00.0, 3808.50, 3809.75, 3808.50, 3809.75, 121, 97, 3809.13, 3809.33, 3809.13, 57, 64
2022/6/30, 00:01:00.0, 3809.50, 3810.00, 3808.25, 3808.50, 152, 117, 3809.06, 3808.92, 3809.13, 77, 75
2022/6/30, 00:02:00.0, 3808.25, 3808.25, 3806.50, 3807.25, 267, 194, 3807.56, 3807.33, 3807.38, 185, 82
2022/6/30, 00:03:00.0, 3807.25, 3809.00, 3807.25, 3808.75, 72, 59, 3808.06, 3808.33, 3808.13, 27, 45
2022/6/30, 00:04:00.0, 3808.75, 3809.25, 3808.25, 3808.50, 88, 80, 3808.69, 3808.67, 3808.75, 43, 45
2022/6/30, 00:05:00.0, 3808.75, 3808.75, 3807.50, 3807.50, 79, 59, 3808.13, 3807.92, 3808.13, 31, 48
2022/6/30, 00:06:00.0, 3807.75, 3808.25, 3807.25, 3808.00, 145, 120, 3807.81, 3807.83, 3807.75, 65, 80
2022/6/30, 00:07:00.0, 3807.75, 3807.75, 3806.75, 3807.00, 173, 146, 3807.31, 3807.17, 3807.25, 135, 38
2022/6/30, 00:08:00.0, 3807.00, 3807.50, 3807.00, 3807.00, 84, 77, 3807.13, 3807.17, 3807.25, 42, 42
2022/6/30, 00:09:00.0, 3807.25, 3807.75, 3807.00, 3807.75, 110, 61, 3807.44, 3807.50, 3807.38, 26, 84
2022/6/30, 00:10:00.0, 3807.75, 3808.00, 3807.50, 3807.75, 74, 68, 3807.75, 3807.75, 3807.75, 44, 30
2022/6/30, 00:11:00.0, 3808.00, 3808.00, 3806.75, 3807.00, 191, 121, 3807.44, 3807.25, 3807.38, 146, 45
2022/6/30, 00:12:00.0, 3807.00, 3807.50, 3806.25, 3806.50, 110, 87, 3806.81, 3806.75, 3806.88, 68, 42
2022/6/30, 00:13:00.0, 3806.25, 3807.25, 3806.25, 3807.00, 80, 64, 3806.69, 3806.83, 3806.75, 36, 44
2022/6/30, 00:14:00.0, 3806.75, 3807.75, 3806.75, 3807.75, 70, 41, 3807.25, 3807.42, 3807.25, 14, 56
2022/6/30, 00:15:00.0, 3807.75, 3809.25, 3807.75, 3809.25, 105, 93, 3808.50, 3808.75, 3808.50, 33, 72
2022/6/30, 00:16:00.0, 3809.00, 3809.00, 3808.50, 3808.50, 47, 42, 3808.75, 3808.67, 3808.75, 29, 18
2022/6/30, 00:17:00.0, 3808.25, 3808.25, 3807.75, 3807.75, 32, 29, 3808.00, 3807.92, 3808.00, 21, 11
2022/6/30, 00:18:00.0, 3807.75, 3808.25, 3807.25, 3807.25, 85, 72, 3807.63, 3807.58, 3807.75, 49, 36
2022/6/30, 00:19:00.0, 3807.25, 3807.25, 3806.25, 3806.25, 102, 88, 3806.75, 3806.58, 3806.75, 68, 34
2022/6/30, 00:20:00.0, 3806.00, 3806.50, 3804.00, 3804.75, 529, 421, 3805.31, 3805.08, 3805.25, 378, 151
2022/6/30, 00:21:00.0, 3804.50, 3804.75, 3803.25, 3804.25, 422, 278, 3804.19, 3804.08, 3804.00, 265, 157
2022/6/30, 00:22:00.0, 3804.50, 3804.75, 3803.50, 3803.75, 295, 219, 3804.13, 3804.00, 3804.13, 173, 122
2022/6/30, 00:23:00.0, 3803.50, 3803.50, 3802.50, 3803.00, 239, 190, 3803.13, 3803.00, 3803.00, 161, 78
2022/6/30, 00:24:00.0, 3803.25, 3803.25, 3802.50, 3802.50, 293, 202, 3802.88, 3802.75, 3802.88, 176, 117
2022/6/30, 00:25:00.0, 3802.50, 3802.50, 3795.75, 3796.25, 2249, 1641, 3799.25, 3798.17, 3799.13, 1571, 678
2022/6/30, 00:26:00.0, 3796.25, 3797.50, 3791.25, 3797.50, 1738, 1262, 3795.63, 3795.42, 3794.38, 1012, 726
2022/6/30, 00:27:00.0, 3797.50, 3798.25, 3795.25, 3795.25, 439, 386, 3796.56, 3796.25, 3796.75, 205, 234
2022/6/30, 00:28:00.0, 3795.00, 3797.25, 3795.00, 3795.75, 213, 198, 3795.75, 3796.00, 3796.13, 80, 133
2022/6/30, 00:29:00.0, 3796.00, 3797.25, 3795.75, 3796.75, 181, 151, 3796.44, 3796.58, 3796.50, 68, 113
2022/6/30, 00:30:00.0, 3797.00, 3797.00, 3794.75, 3796.00, 344, 294, 3796.19, 3795.92, 3795.88, 185, 159
2022/6/30, 00:31:00.0, 3796.00, 3796.50, 3795.50, 3796.50, 195, 164, 3796.13, 3796.17, 3796.00, 90, 105
2022/6/30, 00:32:00.0, 3796.50, 3797.00, 3794.75, 3795.00, 238, 160, 3795.81, 3795.58, 3795.88, 141, 97
2022/6/30, 00:33:00.0, 3795.25, 3796.50, 3794.75, 3796.00, 244, 194, 3795.63, 3795.75, 3795.63, 137, 107
2022/6/30, 00:34:00.0, 3795.75, 3796.50, 3795.00, 3795.50, 200, 173, 3795.69, 3795.67, 3795.75, 124, 76
2022/6/30, 00:35:00.0, 3795.25, 3795.50, 3793.50, 3794.50, 368, 286, 3794.69, 3794.50, 3794.50, 188, 180
2022/6/30, 00:36:00.0, 3794.50, 3795.25, 3793.50, 3794.00, 269, 235, 3794.31, 3794.25, 3794.38, 106, 163
