"date","time","symbol","open","high","low","close","volume"
"2022-02-22","10:36:00","SP:SPX","4349.59","4351.15","4347.01","4350.82","14751460"
"2022-02-22","10:39:00","SP:SPX","4350.72","4351.22","4340.18","4340.37","17532540"
"2022-02-22","10:42:00","SP:SPX","4340.38","4341.88","4336.06","4341.56","14927030"
"2022-02-22","10:45:00","SP:SPX","4341.37","4343.23","4336.82","4338.14","14896440"
"2022-02-22","10:48:00","SP:SPX","4338.12","4341.07","4331.91","4333.07","15646960"
"2022-02-22","10:51:00","SP:SPX","4333.13","4335.8","4330.81","4334.02","12994810"
"2022-02-22","10:54:00","SP:SPX","4334.42","4335.82","4327.73","4329.37","14889630"
"2022-02-22","10:57:00","SP:SPX","4329.53","4333.02","4325.34","4326.76","16060350"
"2022-02-22","11:00:00","SP:SPX","4325.8","4331.61","4325.44","4330.53","14301430"
"2022-02-22","11:03:00","SP:SPX","4330.62","4330.8","4325.83","4329.36","15838060"
"2022-02-22","11:06:00","SP:SPX","4329.21","4329.21","4322.69","4325.18","14758790"
"2022-02-22","11:09:00","SP:SPX","4324.8","4327.44","4322.47","4325.9","14531590"
"2022-02-22","11:12:00","SP:SPX","4325.99","4326.86","4321.76","4322.63","13453520"
"2022-02-22","11:15:00","SP:SPX","4323.12","4324.62","4318.88","4319.78","15258990"
"2022-02-22","11:18:00","SP:SPX","4319.82","4320.95","4317.19","4317.5","14152790"
"2022-02-22","11:21:00","SP:SPX","4317.47","4320.73","4317.47","4320.26","12264240"
"2022-02-22","11:24:00","SP:SPX","4320.57","4330.95","4320.43","4329.4","20018480"
"2022-02-22","11:27:00","SP:SPX","4329.23","4329.57","4320.48","4321.75","18832070"
"2022-02-22","11:30:00","SP:SPX","4321.6","4327.27","4320.74","4320.74","14087500"
"2022-02-22","11:33:00","SP:SPX","4320.68","4326.51","4320.48","4324.22","12600170"
"2022-02-22","11:36:00","SP:SPX","4324.28","4324.28","4317.8","4319.92","11348360"
"2022-02-22","11:39:00","SP:SPX","4320.17","4323.81","4318.38","4323.35","13974720"
"2022-02-22","11:42:00","SP:SPX","4323.05","4326.41","4322.95","4323.43","10205010"
"2022-02-22","11:45:00","SP:SPX","4323.29","4324.98","4321.91","4324.67","10540640"
"2022-02-22","11:48:00","SP:SPX","4324.58","4331.2","4324.29","4329.69","11766130"
"2022-02-22","11:51:00","SP:SPX","4329.67","4329.67","4318.12","4318.19","13932370"
"2022-02-22","11:54:00","SP:SPX","4318.18","4318.88","4312.98","4314.8","13804900"
"2022-02-22","11:57:00","SP:SPX","4314.73","4320.79","4314.49","4320.59","14182700"
"2022-02-22","12:00:00","SP:SPX","4320.63","4326.3","4319.81","4326.16","14810400"
"2022-02-22","12:03:00","SP:SPX","4326.17","4326.62","4322.85","4325.52","12524560"
"2022-02-22","12:06:00","SP:SPX","4325.56","4325.56","4321.72","4323.47","11411030"
"2022-02-22","12:09:00","SP:SPX","4323.55","4324.48","4320.86","4320.86","11766500"
"2022-02-22","12:12:00","SP:SPX","4320.89","4320.89","4317.45","4318.11","12565560"
"2022-02-22","12:15:00","SP:SPX","4318.33","4318.33","4315.12","4316.07","12785160"
"2022-02-22","12:18:00","SP:SPX","4316.08","4316.08","4312.64","4314.48","12733040"
"2022-02-22","12:21:00","SP:SPX","4314.4","4318.03","4314.08","4315.78","12281090"
"2022-02-22","12:24:00","SP:SPX","4315.75","4315.75","4311.72","4314.7","12050250"
"2022-02-22","12:27:00","SP:SPX","4314.57","4316.76","4312.75","4312.75","10993290"
"2022-02-22","12:30:00","SP:SPX","4312.79","4314.27","4310.59","4312.0","12377420"
"2022-02-22","12:33:00","SP:SPX","4311.96","4313.92","4307.61","4312.74","13907290"
"2022-02-22","12:36:00","SP:SPX","4312.65","4313.34","4310.06","4310.17","11058720"
"2022-02-22","12:39:00","SP:SPX","4309.83","4311.38","4309.54","4310.31","9596500"
"2022-02-22","12:42:00","SP:SPX","4310.63","4310.73","4307.25","4308.54","10764130"
"2022-02-22","12:45:00","SP:SPX","4308.54","4309.57","4304.65","4305.17","11924850"
"2022-02-22","12:48:00","SP:SPX","4305.23","4305.66","4300.92","4305.29","13499090"
"2022-02-22","12:51:00","SP:SPX","4305.26","4306.67","4303.34","4303.53","8595740"
"2022-02-22","12:54:00","SP:SPX","4303.57","4304.98","4302.15","4302.15","11264430"
"2022-02-22","12:57:00","SP:SPX","4302.35","4303.75","4300.78","4301.69","10019460"
"2022-02-22","13:00:00","SP:SPX","4301.85","4303.84","4297.21","4297.43","10943790"
"2022-02-22","13:03:00","SP:SPX","4297.63","4303.05","4297.52","4301.82","10548380"
"2022-02-22","13:06:00","SP:SPX","4301.81","4304.79","4299.85","4304.47","9944860"
"2022-02-22","13:09:00","SP:SPX","4304.5","4307.83","4302.17","4304.91","10357690"
"2022-02-22","13:12:00","SP:SPX","4304.88","4307.28","4304.26","4304.32","9476400"
"2022-02-22","13:15:00","SP:SPX","4304.3","4304.32","4291.42","4293.76","15439900"
"2022-02-22","13:18:00","SP:SPX","4293.49","4294.62","4292.88","4294.41","9892710"
"2022-02-22","13:21:00","SP:SPX","4294.26","4298.31","4294.21","4296.06","11858650"
"2022-02-22","13:24:00","SP:SPX","4296.0","4297.85","4295.74","4296.24","12893670"
"2022-02-22","13:27:00","SP:SPX","4296.24","4296.5","4294.6","4296.49","10664010"
"2022-02-22","13:30:00","SP:SPX","4296.33","4298.94","4293.95","4298.17","14121290"
"2022-02-22","13:33:00","SP:SPX","4298.15","4299.83","4295.67","4296.29","11056220"
"2022-02-22","13:36:00","SP:SPX","4296.28","4296.36","4293.1","4293.1","12342670"
"2022-02-22","13:39:00","SP:SPX","4293.17","4295.74","4290.8","4290.8","14984290"
"2022-02-22","13:42:00","SP:SPX","4290.83","4291.02","4286.95","4287.1","13623110"
"2022-02-22","13:45:00","SP:SPX","4287.01","4288.25","4284.84","4285.77","13110780"
"2022-02-22","13:48:00","SP:SPX","4285.77","4285.77","4281.79","4282.01","12091660"
"2022-02-22","13:51:00","SP:SPX","4282.06","4282.64","4280.6","4280.6","12114250"
"2022-02-22","13:54:00","SP:SPX","4280.2","4280.2","4276.34","4278.47","15246080"
"2022-02-22","13:57:00","SP:SPX","4278.43","4280.82","4276.43","4280.81","13937560"
"2022-02-22","14:00:00","SP:SPX","4280.78","4280.78","4276.28","4278.25","14543510"
"2022-02-22","14:03:00","SP:SPX","4278.09","4278.09","4273.73","4274.0","13066190"
"2022-02-22","14:06:00","SP:SPX","4273.91","4274.38","4270.49","4270.49","14137810"
"2022-02-22","14:09:00","SP:SPX","4270.3","4270.7","4267.11","4269.54","14216510"
"2022-02-22","14:12:00","SP:SPX","4269.53","4277.93","4269.47","4277.27","16087520"
"2022-02-22","14:15:00","SP:SPX","4277.19","4281.11","4276.14","4280.19","13943390"
