date,time,symbol,open,high,low,close,volume
2022-03-29,11:36:00,SP:SPX,4611.37,4611.63,4610.66,4610.76,4169490
2022-03-29,11:37:00,SP:SPX,4610.74,4610.92,4609.48,4610.23,4335910
2022-03-29,11:38:00,SP:SPX,4610.24,4611.07,4609.93,4610.06,3372410
2022-03-29,11:39:00,SP:SPX,4610.0,4610.49,4609.93,4610.27,3180060
2022-03-29,11:40:00,SP:SPX,4610.31,4610.57,4609.4,4609.44,3310570
2022-03-29,11:41:00,SP:SPX,4609.46,4609.92,4608.42,4608.98,3380150
2022-03-29,11:42:00,SP:SPX,4608.99,4609.67,4608.85,4609.61,4557370
2022-03-29,11:43:00,SP:SPX,4609.61,4610.96,4609.61,4610.92,3750560
2022-03-29,11:44:00,SP:SPX,4610.93,4611.92,4610.72,4611.64,3825230
2022-03-29,11:45:00,SP:SPX,4611.65,4612.3,4611.41,4611.44,3299620
2022-03-29,11:46:00,SP:SPX,4611.58,4612.07,4611.01,4611.12,3345340
2022-03-29,11:47:00,SP:SPX,4611.2,4612.01,4611.2,4611.59,3369800
2022-03-29,11:48:00,SP:SPX,4611.6,4613.89,4611.6,4613.77,4098680
2022-03-29,11:49:00,SP:SPX,4613.74,4615.71,4613.69,4615.71,3806160
2022-03-29,11:50:00,SP:SPX,4615.58,4615.58,4614.32,4614.86,4663940
2022-03-29,11:51:00,SP:SPX,4614.92,4614.96,4614.38,4614.38,3167480
2022-03-29,11:52:00,SP:SPX,4613.52,4613.52,4612.37,4612.37,3867610
2022-03-29,11:53:00,SP:SPX,4612.35,4613.99,4612.35,4613.43,3712390
2022-03-29,11:54:00,SP:SPX,4613.53,4613.87,4613.25,4613.87,2917110
2022-03-29,11:55:00,SP:SPX,4613.9,4613.93,4612.72,4612.78,2911000
2022-03-29,11:56:00,SP:SPX,4612.79,4612.79,4611.4,4611.62,3220870
2022-03-29,11:57:00,SP:SPX,4611.62,4611.95,4611.27,4611.43,2941440
2022-03-29,11:58:00,SP:SPX,4611.44,4611.88,4610.31,4610.53,3456010
2022-03-29,11:59:00,SP:SPX,4610.58,4610.6,4609.74,4610.6,3589690
2022-03-29,12:00:00,SP:SPX,4610.74,4611.36,4609.97,4610.56,4115060
2022-03-29,12:01:00,SP:SPX,4610.48,4610.58,4608.17,4608.82,4422470
2022-03-29,12:02:00,SP:SPX,4609.06,4609.19,4605.72,4606.74,4573410
2022-03-29,12:03:00,SP:SPX,4606.75,4608.26,4606.7,4608.04,3459940
2022-03-29,12:04:00,SP:SPX,4608.05,4608.41,4607.67,4607.88,3501420
2022-03-29,12:05:00,SP:SPX,4607.93,4608.83,4607.93,4608.74,9228820
2022-03-29,12:06:00,SP:SPX,4608.77,4608.77,4605.17,4605.17,4902620
2022-03-29,12:07:00,SP:SPX,4605.2,4606.04,4604.94,4605.93,3881950
2022-03-29,12:08:00,SP:SPX,4605.99,4607.11,4605.99,4606.16,4375710
2022-03-29,12:09:00,SP:SPX,4606.33,4606.48,4604.83,4604.9,3604920
2022-03-29,12:10:00,SP:SPX,4605.07,4605.75,4603.95,4603.96,4012110
2022-03-29,12:11:00,SP:SPX,4603.93,4604.51,4603.44,4604.36,4045460
2022-03-29,12:12:00,SP:SPX,4604.41,4605.27,4604.24,4605.05,3204310
2022-03-29,12:13:00,SP:SPX,4605.14,4605.3,4604.32,4605.26,3201960
2022-03-29,12:14:00,SP:SPX,4605.29,4605.62,4605.03,4605.28,3757460
2022-03-29,12:15:00,SP:SPX,4605.33,4605.7,4604.83,4605.6,3924980
2022-03-29,12:16:00,SP:SPX,4605.64,4605.69,4605.17,4605.18,3771680
2022-03-29,12:17:00,SP:SPX,4605.14,4605.68,4604.5,4604.99,3363860
2022-03-29,12:18:00,SP:SPX,4605.0,4605.99,4603.27,4603.36,4943580
2022-03-29,12:19:00,SP:SPX,4603.47,4605.99,4603.47,4605.96,3098420
2022-03-29,12:20:00,SP:SPX,4606.01,4606.03,4604.74,4605.46,3222320
2022-03-29,12:21:00,SP:SPX,4605.56,4605.56,4602.62,4602.72,3463620
2022-03-29,12:22:00,SP:SPX,4602.8,4604.66,4601.76,4604.31,3215520
2022-03-29,12:23:00,SP:SPX,4604.28,4604.78,4603.9,4603.9,3005540
2022-03-29,12:24:00,SP:SPX,4603.83,4603.83,4602.08,4602.53,3099060
2022-03-29,12:25:00,SP:SPX,4602.52,4602.52,4601.39,4602.44,2864710
2022-03-29,12:26:00,SP:SPX,4602.42,4602.88,4601.12,4601.45,2885310
2022-03-29,12:27:00,SP:SPX,4601.51,4601.51,4599.3,4599.44,3845830
2022-03-29,12:28:00,SP:SPX,4599.52,4600.45,4599.52,4599.95,3326300
2022-03-29,12:29:00,SP:SPX,4599.97,4600.93,4599.97,4600.71,2856840
2022-03-29,12:30:00,SP:SPX,4600.71,4600.85,4597.68,4597.68,3796880
2022-03-29,12:31:00,SP:SPX,4597.68,4597.68,4595.69,4595.92,6007810
2022-03-29,12:32:00,SP:SPX,4595.96,4595.96,4593.64,4593.69,5253970
2022-03-29,12:33:00,SP:SPX,4593.73,4595.09,4593.23,4594.05,4712660
2022-03-29,12:34:00,SP:SPX,4593.99,4593.99,4593.18,4593.65,4002760
2022-03-29,12:35:00,SP:SPX,4593.63,4593.94,4592.6,4593.78,3854960
2022-03-29,12:36:00,SP:SPX,4593.81,4595.25,4593.78,4595.03,3488400
